L.p.,Sex,Age_2,Man_nman,Av_1,Dst_2,Cst_3,Av_4,Av_5,Dst_6,Dst_7,Cst_8,Dst_9,Dst_10,Av_11,Av_12,Cst_13,Pas_14,Av_15,Dst_16,Av_17,Dst_18,Cst_19,Cst_20,Pas_21,Cst_22,Dst_23,Pas_24,Av_25,Cst_26,Pas_27,Pas_28,Pas_29,Dst_30,Pas_31,Av_Pass,ConstrB,DestrB,AnxEm,HappEm,DejEm,AngerEm
2808,0,2,0,2,2,3,2,1,1,1,3,2,1,1,1,4,2,2,2,2,2,3,3,3,3,1,1,2,3,2,1,3,1,2,1.75,3.142857,1.5,1.38,2.57,1.8,1.75
2809,1,1,0,1,1,3,1,1,1,1,4,1,2,1,2,3,1,2,1,1,1,3,3,2,3,1,1,1,3,1,2,1,1,2,1.375,3.142857,1.166667,1.38,3.29,1.2,1.75
2810,1,1,0,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,1,2,2,4,4,2,2,3,2,2,2,2,1,1,1,2,1.875,2.571429,1.5,2.38,3.57,1.4,1.5
2811,1,2,0,2,3,4,2,3,2,2,4,4,2,3,3,4,3,2,3,3,3,4,4,3,4,2,2,3,4,3,2,3,2,2,2.625,4,2.666667,2.75,3.57,3,3.25
2812,1,3,0,1,2,4,1,2,1,1,4,3,1,2,2,4,2,1,2,2,2,3,4,2,3,1,1,2,4,2,1,2,1,1,1.625,3.714286,1.666667,1.88,3,1.8,2.25
2813,0,2,0,2,4,2,2,3,2,2,4,4,2,3,3,4,3,2,3,3,3,4,4,3,4,2,3,2,4,3,2,3,2,2,2.625,3.714286,2.666667,2.75,3.86,2.6,3.25
2814,0,2,0,2,3,3,2,2,1,1,3,2,2,2,1,3,2,2,2,2,2,2,3,2,3,3,2,2,3,2,1,2,1,2,1.875,2.857143,1.666667,2,2.29,1.6,2.75
2815,1,3,0,2,2,2,2,3,2,2,4,3,3,3,2,4,3,3,3,3,3,3,3,2,2,3,2,2,3,3,3,2,2,3,2.375,3,2.666667,3,3.29,2.6,3.75
2816,1,3,0,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.875,2,2,2,2,2.2,2
2817,0,1,0,2,3,2,2,1,2,2,2,2,2,1,2,3,2,1,1,2,3,2,2,1,3,2,2,2,3,2,2,1,1,2,1.625,2.428571,1.833333,1.5,3.43,1.4,1.25
2818,0,3,0,3,2,2,3,2,2,3,2,2,2,2,3,2,3,3,2,3,2,2,2,3,2,3,3,3,2,2,2,2,2,3,2.875,2,2,2.63,1.86,2.2,2.5
2819,1,1,0,2,3,3,1,2,1,3,3,2,2,1,2,3,1,3,1,2,2,3,3,2,3,3,1,2,2,2,1,1,1,2,1.75,2.857143,1.5,2.13,3.14,2.2,1.5
2820,1,1,0,1,4,4,4,4,3,3,2,3,3,3,3,4,1,3,3,3,3,4,3,1,4,4,3,3,4,3,1,3,3,4,2.75,3.571429,3,1.25,4,1,1.25
2821,1,2,0,3,2,3,2,3,2,3,2,2,1,3,4,3,3,4,4,2,2,3,1,4,3,2,2,3,3,2,2,4,1,2,3.125,2.571429,2,3.13,2.86,2,3
2822,1,1,0,4,4,2,4,3,2,3,2,2,2,3,4,2,3,3,3,4,2,2,2,4,2,4,4,4,2,3,1,4,1,4,3.625,2,2,1.88,1.86,2,2.75
2823,1,2,0,1,2,1,1,2,1,2,2,1,1,2,4,2,1,1,2,2,1,2,2,3,4,2,2,3,3,2,2,3,2,2,2.125,2.285714,1.333333,1.88,2.43,2,2
2824,1,3,0,2,1,3,2,2,1,2,3,1,1,1,2,3,1,2,1,2,2,3,3,2,3,2,2,1,3,2,2,3,2,2,1.75,3,1.333333,1.25,3.14,1.2,1.25
2825,1,3,0,2,1,3,1,1,2,1,3,2,2,1,3,3,1,1,1,1,2,3,3,1,3,1,1,1,2,2,2,1,1,1,1.25,2.857143,1.666667,1.75,2.86,1,2
2826,1,3,0,2,1,3,2,2,1,1,4,1,1,1,3,3,1,2,1,2,1,3,3,1,3,1,2,2,3,2,1,3,2,2,1.875,3.142857,1.166667,1.5,2.57,1.4,1.5
2827,1,3,0,2,1,3,2,1,1,1,3,2,1,1,4,3,2,3,1,3,1,3,1,1,4,1,3,2,3,1,2,1,1,4,2.25,2.857143,1.166667,2.63,2.57,1.4,2.25
2828,1,3,0,2,2,4,1,1,2,3,3,1,2,2,2,3,1,1,2,1,1,3,3,2,3,1,3,2,1,1,1,3,1,2,1.625,2.857143,1.5,1.38,3.29,1.2,1.75
2829,1,2,0,2,1,3,2,2,1,1,3,1,1,2,2,3,1,2,1,1,1,3,3,1,3,1,2,1,3,2,2,2,1,2,1.625,3,1,1.63,3.14,1.4,1.5
2830,1,3,0,1,3,4,1,1,1,1,4,2,2,1,1,4,1,1,2,1,2,4,4,1,4,1,1,1,4,1,1,1,1,1,1,4,1.666667,1.38,3,1.2,1.75
2831,1,3,0,2,1,4,1,3,1,2,4,1,1,1,2,4,1,2,3,2,2,4,4,1,4,1,2,2,4,3,2,3,3,1,1.75,4,1.833333,1.88,2.29,2,2.25
2832,1,3,0,2,1,4,1,2,1,1,4,1,1,2,2,4,1,2,2,1,1,4,4,2,4,1,1,1,3,1,2,2,1,1,1.5,3.857143,1.166667,1.38,2.86,1.2,1.25
2833,1,4,0,1,4,4,1,1,1,1,4,1,1,1,1,3,2,2,1,1,1,4,4,1,3,1,1,2,3,2,1,1,1,1,1.375,3.571429,1,1.88,2.86,1.4,2
2834,1,3,0,3,1,3,1,4,1,1,4,2,3,4,2,3,2,1,2,4,1,2,1,2,3,1,1,2,3,3,1,2,1,1,1.875,2.714286,1.666667,2.13,1.86,2.2,2
2835,1,3,0,2,3,3,1,1,1,4,3,1,1,1,2,2,2,2,1,2,1,2,2,2,4,1,1,2,2,2,1,2,1,2,1.625,2.571429,1,1.63,3,2,1.25
2836,1,3,0,3,1,3,1,2,2,2,3,2,2,2,2,2,2,2,1,1,2,2,3,1,3,1,1,2,2,2,2,2,2,2,1.625,2.571429,1.833333,1.25,3,1.4,1.25
2837,1,3,0,1,1,3,1,1,1,1,4,1,1,1,4,4,1,1,1,1,1,4,4,1,4,1,1,1,4,1,1,1,1,1,1.375,3.857143,1,1,3.29,1,1
2838,1,3,0,1,1,3,2,1,1,1,3,1,1,1,1,3,1,2,1,1,1,3,3,1,3,1,1,1,3,2,1,1,2,2,1.25,3,1.166667,1.25,3,1,1.5
2839,1,3,0,3,3,4,1,1,2,4,4,1,2,1,1,4,1,2,2,3,1,4,4,3,2,3,3,3,3,3,1,1,1,1,1.875,3.571429,1.5,1.63,2.57,1,2
2840,1,4,0,2,1,3,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,3,3,1,3,1,1,1,2,1,1,1,1,1,1.125,2.571429,1,1.5,3.14,1.2,1.75
2841,1,4,0,3,1,4,1,2,1,4,3,1,1,1,4,3,1,2,2,1,1,4,3,1,4,1,2,1,3,2,1,1,1,2,1.75,3.428571,1.166667,1,3.43,1.2,1
2842,1,4,0,2,1,3,1,1,1,1,3,1,1,1,2,3,1,2,1,1,1,3,3,1,3,1,1,1,3,1,2,1,1,2,1.25,3,1,1.38,2.86,1.6,1.75
2843,1,1,0,1,1,3,1,1,1,1,4,1,2,1,4,3,2,3,1,1,1,4,2,1,3,2,2,1,1,1,2,1,1,2,1.875,2.857143,1.166667,1.63,3.29,1.6,1.5
2844,1,3,0,1,3,4,1,2,1,1,4,2,2,1,1,4,2,1,3,1,2,4,4,1,4,3,1,2,4,1,1,1,1,2,1.375,4,1.833333,1.5,3.29,1.2,2.25
2845,1,3,0,2,2,3,2,2,1,4,3,2,2,3,3,2,2,3,3,2,2,2,2,3,3,2,3,2,3,3,1,2,3,3,2.5,2.571429,2.166667,2.13,3.14,2.6,1.25
2846,1,3,0,2,1,2,2,1,1,1,2,1,2,1,2,2,2,2,1,1,1,2,4,1,3,1,2,1,2,2,3,1,1,2,1.625,2.428571,1.166667,2.75,2,2,1.75
2847,1,4,0,1,2,3,1,1,1,1,3,1,1,1,1,3,2,3,1,1,2,4,3,1,3,1,2,1,4,1,3,1,1,2,1.5,3.285714,1.166667,1.5,3.43,1.4,1.5
2848,1,3,0,2,1,2,1,2,1,1,3,2,2,2,2,3,1,2,1,1,1,2,3,2,3,1,2,2,3,1,1,2,1,2,1.75,2.714286,1.333333,1.38,3,1.2,2
