L.p.,Sex,Age_2,Man_nman,Av_1,Dst_2,Cst_3,Av_4,Av_5,Dst_6,Dst_7,Cst_8,Dst_9,Dst_10,Av_11,Av_12,Cst_13,Pas_14,Av_15,Dst_16,Av_17,Dst_18,Cst_19,Cst_20,Pas_21,Cst_22,Dst_23,Pas_24,Av_25,Cst_26,Pas_27,Pas_28,Pas_29,Dst_30,Pas_31,Av_Pass,ConstrB,DestrB,AnxEm,HappEm,DejEm,AngerEm
1,1,2,0,2,1,3,1,1,1,1,4,2,1,1,2,3,2,1,2,1,2,3,3,1,3,1,2,1,2,2,1,1,1,1,1.375,3,1.5,1.63,2,1.2,2.25
2,,2,0,1,2,4,1,1,2,1,3,1,1,2,1,4,2,2,2,1,1,4,4,3,4,1,2,1,2,1,3,3,2,2,1.625,3.571429,1.5,2.5,1.86,3,2.25
3,1,2,0,1,1,2,1,1,1,2,2,2,1,1,1,2,2,2,2,2,2,2,3,2,3,1,2,2,2,2,2,2,1,2,1.625,2.285714,1.5,1.75,1.57,2.2,2
4,1,1,0,2,2,3,2,2,1,1,3,1,1,2,1,3,1,2,2,2,1,3,2,2,3,2,2,1,2,2,1,2,1,2,1.625,2.714286,1.166667,2.63,2.14,1.8,2
5,1,2,0,2,1,2,2,1,1,2,2,1,1,1,2,2,1,2,2,1,1,2,2,2,2,2,2,1,2,2,2,2,1,2,1.625,2,1.166667,3,1.86,2.2,2.25
6,0,1,0,1,1,3,1,1,1,1,3,1,1,1,1,3,1,1,2,1,1,3,3,1,3,1,1,2,1,0,1,0,2,1,1.125,2.714286,1.333333,1.25,3,1.2,1.25
7,1,2,0,2,2,4,1,1,1,1,4,1,1,1,3,4,1,4,1,1,1,3,3,1,3,1,1,1,3,2,1,2,1,2,1.625,3.428571,1,1.63,3.29,1.2,1.25
8,1,3,,2,1,3,2,2,1,1,3,1,1,2,3,3,2,2,1,1,2,3,3,2,3,1,1,2,2,1,2,2,1,2,2,2.857143,1.166667,2.13,2.57,1.4,2
9,,,,2,2,2,2,1,1,2,4,1,1,1,3,3,2,2,1,2,2,3,3,2,3,1,2,1,2,2,2,2,1,2,1.875,2.857143,1.166667,2.13,2.43,1.6,2
10,1,4,0,2,1,2,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,2,3,1,4,1,1,1,2,1,1,2,1,1,1.25,2.285714,1,1.13,2.29,1.4,1.5
11,,2,0,2,2,3,1,2,1,1,2,1,1,1,2,3,3,1,2,1,1,3,3,2,3,1,2,1,3,2,1,2,1,1,1.75,2.857143,1.166667,1.75,2.43,1,1.5
12,1,4,0,3,1,3,3,1,1,4,2,1,1,2,2,3,2,3,1,2,1,3,3,2,3,1,3,2,3,2,1,3,1,2,2.25,2.857143,1,2.13,1.43,1.8,2.5
13,1,3,0,2,1,2,1,2,2,1,2,1,1,2,2,3,1,2,3,1,2,2,3,1,3,1,1,2,3,2,1,2,2,2,1.5,2.571429,1.833333,1.5,3,1.2,2
14,1,4,0,3,1,2,3,1,1,1,3,1,1,1,3,3,1,3,2,2,1,3,3,2,3,1,2,1,3,2,3,2,1,3,2,2.857143,1.166667,1.75,3,1.6,1.25
15,1,2,0,1,2,3,1,2,1,1,4,1,1,2,2,4,1,1,2,1,1,4,4,1,4,1,1,1,4,1,1,2,1,1,1.25,3.857143,1.166667,1,3.29,1.4,1.5
16,1,1,0,1,1,4,1,1,1,1,3,1,1,1,2,4,1,1,2,1,1,3,3,1,3,1,1,1,3,1,1,2,2,1,1.125,3.285714,1.333333,1.5,3.14,1,1.5
17,1,2,0,2,2,4,1,1,1,1,4,1,1,1,1,4,1,1,2,1,1,4,4,1,4,1,1,1,1,1,1,1,1,1,1,3.571429,1.166667,1.38,3.14,1.6,1.5
18,1,4,0,1,1,3,1,2,1,1,3,1,1,2,2,3,2,2,3,1,1,3,3,2,3,1,3,1,3,3,2,1,1,2,1.875,3,1.333333,1.63,2.57,2,1.25
19,1,2,0,2,2,3,2,1,1,1,3,1,1,1,2,3,2,2,2,1,2,3,4,2,3,1,2,2,3,2,2,2,2,2,1.875,3.142857,1.5,1.75,2.57,1.4,1.5
20,0,1,0,1,2,3,1,1,2,1,3,1,1,1,3,3,1,2,2,2,2,4,4,3,3,1,1,1,3,1,2,3,1,2,1.625,3.285714,1.5,1.63,3,1.6,1.75
21,,,,1,2,3,1,1,1,1,3,1,2,2,3,2,2,2,2,1,1,3,1,2,2,2,2,1,2,2,2,2,2,2,1.75,2.285714,1.5,2.5,2.86,2.6,2.25
22,0,3,,1,2,3,1,1,1,1,4,1,1,1,1,3,1,1,2,2,1,3,3,1,3,1,1,1,3,1,1,2,1,1,1,3.142857,1.166667,2.38,2.29,1.8,2.5
23,,3,0,1,4,4,1,1,1,1,4,1,1,4,4,4,1,1,4,1,1,4,4,1,4,1,1,1,1,1,1,1,1,1,1.375,3.571429,1.5,1,2.71,3.4,2.5
24,,,,1,2,3,1,1,1,1,3,1,2,2,3,2,2,2,2,1,1,3,1,2,2,2,2,1,2,2,2,2,2,2,1.75,2.285714,1.5,2.5,2.71,2.6,2.25
25,,2,0,2,2,2,2,1,2,1,2,1,1,2,2,2,1,2,3,2,1,3,3,2,4,1,2,2,2,2,1,2,1,2,1.75,2.571429,1.5,2,2,1.8,1.75
26,1,1,0,1,2,4,1,1,1,1,4,1,1,1,2,4,1,1,2,1,2,4,3,1,4,1,1,1,4,1,1,2,1,2,1.125,3.857143,1.333333,1.13,3.14,1,1.75
27,1,2,0,1,2,3,1,2,1,1,3,2,1,1,3,3,1,2,3,2,2,3,3,1,3,1,2,1,3,2,1,2,2,1,1.625,3,1.833333,1.38,2.86,1.4,2.5
28,,2,0,2,1,3,1,1,1,1,3,2,1,1,1,3,1,1,2,1,2,3,3,1,3,1,1,1,3,1,1,2,1,2,1,3,1.5,1,2.43,1.4,1.25
29,0,3,0,2,1,4,1,1,1,1,4,1,1,1,2,3,1,2,1,2,1,4,3,1,4,1,1,2,4,1,1,2,1,2,1.375,3.714286,1,1.5,3.43,1.2,1.25
30,0,2,0,1,2,4,1,2,1,1,3,1,1,2,2,4,1,2,1,1,1,4,4,1,4,1,1,2,4,1,1,2,1,1,1.5,3.857143,1,1,3,1.4,1
31,,2,0,1,2,3,1,1,1,1,3,1,1,1,2,3,1,1,2,3,2,3,3,1,3,1,1,2,3,2,1,2,2,2,1.25,3,1.5,1,3.14,1,1.5
32,1,2,0,1,2,3,1,1,1,1,4,1,1,2,2,4,1,1,3,2,2,4,3,1,4,1,1,1,4,1,1,1,1,1,1.125,3.714286,1.5,1.13,3.57,1,2
33,1,2,0,1,2,3,1,1,1,1,4,1,1,1,3,4,1,2,2,1,1,4,4,1,4,1,1,1,4,1,1,2,1,2,1.375,3.857143,1.166667,1.13,3.14,1.4,1.75
34,1,2,0,1,2,4,1,1,1,1,3,1,2,2,1,4,1,2,3,2,1,4,3,1,3,3,1,1,2,1,2,2,2,2,1.125,3.285714,1.666667,1.13,2.86,1.2,1.75
35,0,2,0,2,1,3,2,2,1,1,3,1,1,2,2,3,2,2,1,1,1,3,3,1,3,1,2,2,3,2,1,2,1,2,1.875,3,1,1.88,2.57,1,1.5
36,0,3,0,1,2,3,1,1,1,2,3,1,1,1,2,3,1,2,2,1,1,4,3,1,3,1,1,2,3,1,1,2,1,1,1.375,3.142857,1.166667,1.5,2.29,1.4,1.75
37,1,3,,2,2,4,2,2,1,1,4,1,1,2,4,4,1,2,1,2,1,3,2,1,4,1,2,1,1,1,2,3,1,1,1.875,3.142857,1,1.75,2.57,2,1.75
38,1,3,0,1,1,4,1,1,1,2,3,1,1,1,1,3,1,1,2,2,2,3,4,1,3,1,1,1,4,2,1,2,1,2,1,3.428571,1.333333,1.75,3,1.2,2
39,1,4,0,1,2,3,2,1,4,3,3,1,1,1,1,4,1,1,1,1,1,3,3,1,4,1,1,1,3,1,1,1,1,1,1.125,3.285714,1.5,1.75,3.57,1,1
40,1,2,0,1,2,3,1,2,1,1,4,1,1,1,2,3,1,2,1,1,2,4,3,1,3,1,1,1,4,1,1,1,1,2,1.375,3.428571,1.166667,1.13,3,1,1.5
41,0,2,0,2,1,4,1,1,1,2,4,1,1,2,3,3,1,2,1,1,1,4,3,1,3,1,1,1,1,1,2,1,1,2,1.375,3.142857,1,1.25,3,1,1
42,1,4,0,2,1,3,2,2,1,2,3,2,1,2,3,2,1,3,2,1,1,2,2,1,3,1,3,2,2,3,2,3,1,2,2.125,2.428571,1.333333,2.25,2.14,1.6,2
43,1,4,,2,2,2,1,2,1,2,4,2,2,1,4,3,1,2,2,2,2,3,4,2,4,1,2,2,3,2,1,3,2,3,2,3.285714,1.833333,2.38,2.14,1.6,2.25
44,1,2,0,1,1,3,1,2,1,1,3,1,1,1,2,3,1,1,2,1,2,3,4,1,3,3,1,1,3,1,1,2,1,3,1.25,3.142857,1.333333,1.25,3,1.2,1.5
45,0,4,1,4,1,3,1,2,1,4,4,1,1,2,1,3,1,2,1,1,2,4,2,1,4,1,2,1,2,1,2,2,1,1,1.375,3.142857,1.166667,1.63,3.14,1.6,1.5
46,1,2,0,2,2,3,2,2,1,1,3,1,1,2,2,3,1,2,2,2,2,3,3,1,3,1,2,1,3,2,1,1,1,1,1.625,3,1.333333,1.25,3,1.2,1.25
47,0,2,0,1,1,3,1,1,1,1,4,1,1,1,1,4,1,1,1,1,1,4,3,1,4,1,1,1,4,1,1,1,1,1,1,3.714286,1,1.25,2.57,1.4,1
48,1,3,0,2,3,2,3,1,1,1,2,1,1,1,1,2,2,3,2,2,2,3,2,2,2,1,2,2,3,2,2,1,1,1,2,2.285714,1.333333,1.75,2.43,1.4,1.75
49,0,2,0,1,2,3,1,1,1,1,4,1,1,1,2,3,1,3,1,1,1,4,4,1,3,1,3,1,3,1,2,2,1,2,1.625,3.428571,1,1.25,2.71,1.2,1.5
50,0,3,0,1,2,2,1,2,3,1,2,3,2,2,2,2,2,3,3,2,1,3,3,1,3,1,3,2,3,2,2,2,3,2,2,2.571429,2.5,2.5,2.14,1.8,3.25
51,,4,0,2,3,3,1,2,1,1,2,1,2,1,2,3,1,2,2,2,2,3,2,2,3,1,2,2,3,2,1,2,1,2,1.75,2.714286,1.5,1.75,2.29,1.4,1.75
52,0,4,0,1,2,3,1,1,1,1,4,1,1,1,1,4,1,2,1,2,1,4,4,1,4,1,1,1,4,1,1,2,1,1,1.125,3.857143,1,1.13,2.86,1.2,1.75
53,0,3,0,2,1,3,1,2,2,2,3,1,1,1,2,3,2,1,2,1,2,3,3,2,4,1,1,1,2,2,2,3,2,2,1.5,3,1.666667,1.88,2.71,2,2
54,0,2,0,1,2,3,1,2,1,2,3,1,2,1,2,3,1,2,1,1,1,3,4,1,3,1,2,2,1,1,1,2,2,2,1.625,2.857143,1.333333,1.25,3.43,1.4,1.75
55,0,4,1,1,2,3,1,1,2,1,3,2,1,2,2,4,2,2,1,1,1,3,3,2,4,1,1,1,4,1,2,2,1,1,1.5,3.428571,1.333333,1.38,3,1.6,1.75
56,0,2,0,1,2,4,1,1,1,1,4,1,1,1,1,3,1,2,1,1,1,4,3,1,4,1,1,1,4,1,1,1,1,1,1.125,3.714286,1,1,2.43,1.4,1.25
57,0,3,0,1,2,1,1,1,1,1,4,1,1,4,2,3,1,3,1,2,1,3,3,1,3,1,1,1,4,1,1,2,1,3,1.375,3,1,1.25,2.29,1.2,1.25
58,1,4,0,2,1,4,1,1,1,3,4,1,2,2,1,3,2,4,1,1,1,3,4,2,4,1,2,1,2,2,2,1,1,1,1.75,3.428571,1.166667,1.88,3.29,1.8,1.25
59,1,2,0,1,3,3,1,2,1,3,4,2,1,1,2,4,1,2,1,1,1,4,2,2,4,2,1,1,4,2,1,2,1,1,1.5,3.571429,1.166667,2.38,2.14,2.2,1.75
60,1,2,0,1,2,4,1,1,1,1,4,1,1,1,1,4,1,3,2,1,1,4,3,1,4,1,2,1,1,1,1,1,1,3,1.375,3.428571,1.166667,1.63,3.43,1,1.75
61,0,4,0,1,2,3,1,1,2,1,3,1,1,1,2,3,1,1,3,1,1,4,4,1,4,1,1,1,4,1,1,1,1,4,1.125,3.571429,1.5,1.25,4,1,1.25
62,0,1,0,1,1,4,1,2,1,1,3,1,1,2,3,3,1,1,4,1,1,4,4,1,4,1,1,1,4,3,1,2,1,2,1.375,3.714286,1.5,1.13,2.86,2,1
63,0,1,0,1,2,3,1,1,1,1,3,1,1,1,1,3,2,1,1,1,1,3,3,1,3,1,1,1,3,1,1,1,1,1,1.125,3,1,2,2.57,1.8,1.5
64,0,4,1,1,1,3,1,2,1,1,4,1,1,1,1,4,1,1,2,1,2,3,4,1,4,1,1,1,3,1,1,2,1,1,1.125,3.571429,1.333333,1.25,3.43,1,1.75
65,1,2,0,1,2,4,1,1,1,1,3,1,1,1,2,4,2,1,2,1,1,3,3,1,4,1,1,1,4,1,1,1,2,1,1.25,3.571429,1.333333,1.13,2.57,1.2,1.75
66,1,2,0,2,1,3,2,2,1,2,4,1,1,1,2,3,1,2,1,1,1,3,3,2,4,1,2,1,3,2,2,2,1,2,1.75,3.285714,1,1.75,3.57,1.2,1
67,1,4,,2,1,3,2,1,2,2,3,1,1,1,3,3,2,2,1,1,2,3,3,2,3,2,2,1,2,2,2,2,1,1,1.875,2.857143,1.333333,1.88,2.86,1.2,1.25
68,1,2,0,1,2,3,1,2,1,2,4,1,1,1,2,3,1,1,1,1,1,3,3,1,3,1,1,1,3,1,2,1,1,1,1.25,3.142857,1,1.75,3.14,1,1.75
69,0,2,0,2,1,3,1,1,1,3,3,1,1,1,1,3,1,1,1,1,1,3,1,1,3,2,1,1,3,1,1,1,1,1,1,2.714286,1,1.25,2.86,1,1.5
70,,3,0,2,1,3,2,1,1,1,4,2,1,1,1,3,1,2,1,2,2,3,3,1,3,1,2,2,4,1,1,3,1,2,1.5,3.285714,1.333333,1.13,2.86,1.4,1.25
71,,2,1,2,3,4,2,3,1,1,2,1,2,2,2,3,1,1,2,3,2,3,3,1,3,2,1,2,3,2,1,2,2,1,1.625,3,1.666667,1.63,2.86,1.2,2
72,0,1,0,1,2,4,1,1,1,2,3,1,1,1,3,3,2,2,2,1,1,3,3,2,3,1,1,2,3,1,3,2,1,1,1.75,3.142857,1.166667,1.25,2.86,1.4,1.75
73,,3,0,1,1,3,1,1,1,1,3,1,1,1,1,3,1,1,1,1,1,3,2,1,4,1,1,1,4,2,1,2,1,1,1,3.142857,1,1.5,2.57,1.6,1.25
74,0,3,1,1,2,3,1,1,1,1,4,1,1,1,1,3,1,1,2,2,1,3,3,1,3,1,1,1,3,1,2,2,1,2,1,3.142857,1.166667,1.75,2.29,1.6,1
75,0,1,0,1,2,3,1,2,2,1,3,2,2,2,2,3,1,1,3,1,2,3,2,1,3,3,1,2,3,2,1,2,2,2,1.375,2.857143,2.166667,1.5,2,1.2,2.75
76,0,2,0,1,1,3,1,1,1,1,3,1,1,1,1,3,1,1,1,1,1,3,3,1,3,1,2,1,3,3,1,2,1,2,1.125,3,1,1.63,2.57,1.2,1.25
77,,2,1,1,2,1,1,1,1,1,4,1,1,1,1,3,1,1,1,1,1,4,4,1,4,1,1,1,3,1,1,1,1,1,1,3.285714,1,1.13,3,1.4,1.25
78,0,1,0,2,1,3,1,3,1,1,3,1,1,2,1,3,2,2,1,1,1,3,4,2,3,1,2,1,4,1,2,3,1,3,1.75,3.285714,1,1.38,3.14,1.4,1
79,,3,1,1,2,3,1,2,2,1,4,1,1,2,1,2,2,2,2,1,2,2,3,1,3,1,1,2,3,2,2,1,1,2,1.5,2.857143,1.5,2.13,2.14,2.2,2.25
80,0,4,0,2,2,3,1,2,1,2,4,1,1,2,1,4,1,3,2,1,1,4,3,1,4,1,4,1,1,1,4,2,1,4,1.75,3.285714,1.166667,1.13,2.43,1,1.5
81,1,1,0,3,1,2,1,1,1,1,4,1,1,1,2,2,2,4,2,1,1,2,2,1,4,1,1,1,2,2,2,2,2,3,1.625,2.571429,1.333333,2.25,2.29,2,1.75
82,0,2,0,1,2,4,1,2,1,1,3,1,1,2,2,4,1,1,1,1,3,3,4,1,4,1,1,2,4,1,2,2,1,2,1.375,3.714286,1.333333,1,2.86,1,1
83,0,2,1,1,1,4,1,1,2,1,3,1,1,1,1,4,1,1,1,1,2,4,4,1,4,1,1,1,4,1,1,2,2,2,1,3.857143,1.5,1,3,1.6,2.25
84,1,2,1,2,2,4,1,2,1,1,4,1,1,1,3,4,1,1,1,2,1,4,4,1,4,1,1,2,4,2,1,2,1,2,1.5,4,1,1.13,3.14,1.2,1.5
85,0,2,1,1,1,3,1,1,1,1,4,1,1,1,1,4,1,1,3,1,2,3,3,1,4,1,1,1,3,1,2,1,1,1,1,3.428571,1.5,1.88,2.71,1,1.5
86,1,2,0,1,1,3,1,1,1,1,4,1,1,1,1,3,1,1,1,1,1,3,4,1,3,1,1,1,4,1,1,1,1,1,1,3.428571,1,1.13,2.71,1.4,1
87,1,3,0,2,1,2,1,1,1,1,3,1,1,2,2,3,1,2,2,1,1,3,3,1,3,1,1,1,3,2,2,2,1,2,1.25,2.857143,1.166667,1.75,2.43,2,1.75
88,1,4,0,2,3,4,1,1,1,1,4,1,1,1,2,4,1,2,2,1,2,4,3,2,3,1,3,1,2,1,1,1,1,3,1.625,3.428571,1.333333,1.13,3.71,1,1.5
89,0,3,0,1,1,3,1,2,2,1,4,1,1,1,2,4,1,1,1,2,2,4,4,1,4,1,1,1,4,1,2,1,2,2,1.25,3.857143,1.5,2.63,2.86,1.8,2.5
90,1,3,1,1,1,4,1,1,1,1,4,1,1,1,1,4,1,3,1,1,1,4,4,1,4,4,1,1,4,1,1,1,1,1,1.25,4,1,1.13,3.86,1.4,1
91,0,2,0,2,1,2,2,1,1,1,3,1,1,1,2,3,2,2,2,1,1,3,3,2,3,1,2,2,3,2,2,1,1,2,1.875,2.857143,1.166667,1.13,2.14,1.4,1.5
92,1,2,0,2,1,2,2,2,1,1,3,1,1,1,2,2,2,2,2,1,1,2,2,1,3,1,1,1,3,2,2,2,1,2,1.625,2.428571,1.166667,1.38,2.29,1.4,1
93,1,2,0,2,1,3,2,2,1,1,4,2,2,2,2,3,2,2,3,2,2,3,3,2,3,1,1,1,3,1,2,2,1,1,1.75,3.142857,1.833333,1.88,3.14,1.8,1.5
94,1,2,0,2,1,2,2,1,1,1,3,1,1,2,4,4,2,1,1,2,1,3,3,2,3,1,2,1,3,3,1,2,1,1,1.875,3,1,1.25,2.57,1.2,1.5
95,1,3,0,1,2,4,1,1,1,1,4,1,1,1,3,3,1,2,1,1,1,4,3,1,4,1,2,1,4,1,1,1,1,4,1.5,3.714286,1,2,3.29,1,1.25
96,0,2,0,1,1,4,1,1,1,1,4,2,1,1,1,4,1,1,1,1,1,4,4,1,4,1,1,1,4,1,2,1,1,1,1,4,1.166667,1,3.86,1,1
97,1,1,0,1,1,3,1,1,1,1,4,1,1,1,1,4,1,4,1,1,1,4,4,1,4,1,1,1,3,1,1,2,1,1,1.375,3.714286,1,1.38,3,1,1
98,1,1,0,2,1,3,1,1,1,1,4,1,1,1,1,3,1,1,1,1,1,3,3,1,3,1,1,1,3,1,1,1,1,1,1,3.142857,1,1.25,3,1,1
99,,4,0,2,1,3,1,1,1,1,3,1,1,1,1,3,1,1,1,3,1,2,3,1,3,1,1,1,3,1,1,3,1,1,1,2.857143,1,1.38,2.57,1,1
100,1,2,1,1,1,3,2,1,1,1,3,2,1,2,1,2,1,1,1,2,2,3,4,1,4,3,1,1,3,1,1,1,2,2,1.125,3.142857,1.5,2.75,1.43,2.2,3
101,1,1,0,4,2,2,3,2,1,1,2,2,2,2,3,3,1,3,3,3,2,3,3,2,2,1,2,2,2,2,1,3,2,3,2.25,2.428571,2,2.5,2.86,1.6,2.5
102,0,4,1,1,2,3,2,2,1,1,4,1,1,2,2,4,1,1,2,1,1,4,4,1,4,1,4,3,4,1,1,1,1,1,2,3.857143,1.166667,1,3.29,1,1.25
103,1,2,1,2,1,3,1,1,1,2,4,4,4,1,1,4,2,3,4,1,3,3,4,1,3,1,4,1,4,3,1,4,1,1,1.75,3.571429,2.833333,3.38,1,2.8,3.75
104,1,2,0,2,1,3,2,2,2,1,3,2,1,2,2,3,1,1,3,2,2,3,3,1,3,1,2,2,3,2,1,2,1,2,1.625,3,1.833333,1.38,2.86,1.2,2.25
105,1,2,0,2,1,2,2,2,1,1,2,1,1,1,2,3,1,2,1,1,1,3,2,1,2,1,1,1,2,2,1,2,1,2,1.5,2.285714,1,1.38,2.86,1.2,1.5
106,0,2,1,1,1,4,1,1,1,1,4,1,1,1,1,4,1,2,1,1,1,4,4,1,4,1,1,1,4,1,1,1,1,1,1.125,4,1,1,3.43,1,1
107,0,2,1,2,2,3,1,2,1,1,2,1,1,1,1,3,2,1,2,1,2,3,3,1,3,1,1,1,1,1,1,1,1,1,1.25,2.571429,1.333333,1,2.57,1,1.75
108,1,3,1,2,1,2,2,1,1,1,3,1,2,1,2,3,1,2,2,1,2,3,3,2,3,1,2,1,3,2,2,3,1,2,1.625,2.857143,1.5,2,2.43,1,2
109,1,3,0,2,2,3,2,2,1,1,3,1,1,2,1,3,1,2,1,2,1,3,3,1,3,1,1,1,3,1,1,1,1,2,1.375,3,1,1,2.43,1.2,1.25
110,1,4,0,1,1,3,1,2,1,1,3,1,1,2,1,4,1,3,1,1,1,3,4,2,3,1,1,1,3,1,1,1,1,2,1.5,3.285714,1,1.38,2.71,1.2,1.75
111,1,2,0,1,1,3,2,1,1,1,3,1,1,2,1,3,1,1,1,1,1,1,4,1,4,3,1,1,1,1,1,1,1,1,1.125,2.714286,1,1,2.71,1.2,1.25
112,1,2,0,2,2,3,1,2,1,1,3,2,2,2,2,3,2,2,3,1,2,2,3,2,3,1,1,2,2,2,2,2,2,2,1.75,2.714286,2,2.25,2.71,1.4,2.5
113,1,2,0,1,1,2,1,1,1,1,3,1,2,1,1,4,2,2,3,1,1,4,3,1,4,1,1,1,4,2,1,3,1,2,1.25,3.428571,1.5,2.38,2.57,1.2,2
114,1,1,0,1,1,4,1,1,1,1,4,1,1,1,1,4,1,1,1,1,1,4,3,2,4,1,1,1,3,1,1,1,1,2,1.125,3.714286,1,1.13,2.86,1,1.25
115,1,2,0,1,1,4,1,1,1,1,4,1,1,1,1,4,1,1,1,1,1,4,3,1,4,1,1,1,4,1,1,1,1,1,1,3.857143,1,1,3.29,1,1
116,0,1,0,2,1,3,1,2,1,2,3,1,1,1,2,3,2,2,1,2,2,3,3,2,3,1,1,1,2,2,2,2,1,1,1.625,2.857143,1.166667,1.25,2.71,1.4,1.25
117,1,1,0,2,2,3,1,2,1,2,3,1,1,2,3,3,1,3,2,1,2,3,3,1,3,2,2,1,3,2,2,2,1,2,1.75,3,1.333333,1.75,3,1.4,1.25
118,,4,0,1,1,4,1,1,1,1,4,1,1,1,4,4,1,4,2,1,1,4,4,1,4,1,1,2,1,1,2,2,1,2,1.875,3.571429,1.166667,1.25,4,1,1.5
119,0,4,1,1,1,3,1,2,1,1,3,1,1,2,2,3,1,1,2,2,2,4,3,1,3,1,1,2,3,2,1,2,1,2,1.375,3.142857,1.333333,1.63,2.86,1,1
120,1,3,0,1,2,4,1,1,2,2,4,3,2,1,1,4,3,2,2,2,2,4,4,3,4,2,2,1,4,1,3,1,1,2,1.75,4,2,3,1.43,3.4,2.25
121,1,2,0,2,1,4,2,2,1,1,3,3,3,1,4,3,3,3,3,1,2,3,4,2,4,1,4,2,1,4,4,3,1,4,2.75,3.142857,2.166667,2.75,2.57,2.4,1.75
122,1,2,,1,1,2,1,1,1,3,4,1,1,1,1,4,1,1,1,1,1,4,4,1,4,2,2,1,4,1,1,1,1,3,1.125,3.714286,1,1.13,3,1.2,1.25
123,,2,0,1,2,3,2,2,1,1,4,1,1,1,2,3,1,1,1,2,1,3,3,1,3,1,1,1,3,2,1,2,2,2,1.375,3.142857,1.166667,1.13,2.86,1.2,1
124,0,2,0,2,2,3,1,2,1,1,4,1,1,1,1,4,1,1,2,2,2,4,4,1,4,4,1,1,4,1,2,2,1,2,1.125,3.857143,1.333333,1.5,3.43,1.2,1.25
125,1,4,0,1,1,4,1,1,1,1,4,1,1,1,1,4,1,1,1,1,1,4,4,1,4,1,1,1,4,1,1,1,1,1,1,4,1,1.25,3.57,1,1
126,0,1,0,1,1,3,1,1,1,1,3,1,1,1,1,4,1,2,2,1,2,4,3,1,4,1,2,1,3,2,2,1,1,3,1.25,3.428571,1.333333,1,2.43,1,1.5
127,0,2,0,1,2,3,1,2,1,3,3,2,1,1,2,3,1,3,2,1,2,3,2,1,3,1,1,1,1,2,1,2,1,2,1.5,2.571429,1.5,1.25,2.71,1.2,2
128,0,3,0,2,1,3,1,2,1,1,4,1,1,2,2,4,1,2,2,1,1,4,2,1,4,1,1,2,4,1,1,2,1,2,1.5,3.571429,1.166667,1,3,1,1
129,1,3,0,2,2,3,2,2,1,1,3,1,1,1,2,4,2,2,2,2,2,3,2,1,3,1,2,2,1,2,1,2,1,2,1.875,2.714286,1.333333,1.38,2.86,1.4,2.25
130,1,2,0,1,2,4,1,1,1,1,4,1,1,1,1,4,1,1,1,2,1,4,2,1,4,1,1,1,4,1,1,1,1,1,1,3.714286,1,1.38,3.14,1,1.25
131,1,1,0,2,1,2,2,1,1,2,2,1,1,1,3,2,1,2,1,1,1,2,3,2,2,1,2,1,2,2,3,2,1,1,1.75,2.142857,1,1.25,2.43,1.2,1.25
132,0,4,0,2,2,2,2,2,1,1,3,1,2,2,1,3,2,2,3,2,3,3,3,2,2,3,2,3,2,2,2,3,2,2,2,2.571429,2,2.38,2.57,2.2,2.75
133,1,2,0,1,2,2,1,1,1,1,3,1,1,1,2,1,1,1,1,2,1,4,2,1,4,1,1,1,4,1,1,1,1,1,1.125,2.857143,1,1.63,3.14,1,1.5
134,1,2,0,2,1,3,2,2,2,2,4,1,1,1,2,3,1,2,1,1,2,3,3,2,3,1,1,2,3,2,1,2,1,2,1.75,3.142857,1.333333,1.38,2.86,1,1.5
135,0,4,0,2,1,3,2,1,1,1,2,1,1,1,3,3,2,2,1,1,1,3,2,4,2,4,2,2,2,1,2,2,1,1,2.25,2.428571,1,1.38,2.86,1.2,1.75
136,1,2,0,2,1,2,3,2,1,1,4,1,2,2,3,4,2,3,2,3,1,3,2,2,2,1,2,1,4,2,1,2,1,3,2.25,3,1.333333,2,2.14,1.8,3.25
137,1,4,0,1,2,3,1,1,1,1,4,1,1,2,2,3,2,1,1,2,1,3,4,1,3,1,2,1,3,2,1,2,1,1,1.375,3.285714,1,1.38,3,1.4,1.75
138,1,2,0,1,1,4,1,1,1,4,1,2,1,2,4,1,1,1,1,1,4,4,4,2,4,1,2,1,1,3,1,2,2,1,1.625,2.714286,1.833333,1.63,2.86,1,1.5
139,1,2,0,1,1,3,2,1,1,1,4,2,1,1,1,2,1,1,1,1,1,4,3,1,4,1,1,1,4,1,1,1,1,1,1.125,3.428571,1.166667,1.25,2.71,1.2,1
140,1,4,0,2,2,4,2,1,1,1,4,1,2,1,2,2,1,1,1,1,1,4,4,2,3,3,1,1,3,2,2,2,1,2,1.375,3.428571,1.166667,1.5,2.86,1.2,1.75
141,0,4,0,2,1,3,2,2,3,2,3,1,2,2,3,4,2,2,2,2,2,3,2,1,2,4,2,1,1,1,1,2,2,1,1.875,2.571429,2,1.25,2.71,1.2,2
142,1,3,0,2,1,3,2,1,1,1,4,1,1,1,4,4,1,2,1,1,2,3,2,2,3,1,1,1,4,1,1,2,1,1,1.75,3.285714,1.166667,1.5,2.57,1,2
143,1,2,0,2,2,2,1,1,2,1,2,2,1,1,1,2,1,2,2,2,2,2,3,2,2,1,1,1,3,2,1,1,3,1,1.25,2.285714,2,2.38,2,2.2,2.5
